HTML Color Name,Color Group
Aqua,Blue
AquaMarine,Blue
Blue,Blue
CadetBlue,Blue
CornFlowerBlue,Blue
Cyan,Blue
DarkBlue,Blue
DarkTurquoise,Blue
DeepSkyBlue,Blue
DodgerBlue,Blue
LightBlue,Blue
LightCyan,Blue
LightSkyBlue,Blue
LightSteelBlue,Grey
MediumBlue,Blue
MediumSlateBlue,Purple
MediumTurquoise,Blue
MidnightBlue,Blue
Navy,Blue
PaleTurquoise,Blue
PowderBlue,Blue
RoyalBlue,Blue
SkyBlue,Blue
SteelBlue,Blue
Turquoise,Blue
Bisque,Brown
BlanchedAlmond,Brown
Brown,Red
BurlyWood,Brown
Chocolate,Yellow
Cornsilk,Brown
DarkGoldenRod,Yellow
GoldenRod,Yellow
Maroon,Red
NavajoWhite,Brown
Peru,Brown
RosyBrown,Brown
SaddleBrown,Brown
SandyBrown,Brown
Sienna,Brown
Tan,Brown
Wheat,Brown
Black,Black
DarkGray,Gray
DarkSlateGray,Green
DimGray,Gray
Gainsboro,Gray
Gray,Gray
LightGray,Blue
LightSlateGray,Blue
Silver,Gray
SlateGray,Gray
Chartreuse,Green
DarkCyan,Blue
DarkGreen,Green
DarkOliveGreen,Green
DarkSeaGreen,Green
ForestGreen,Green
Green,Green
GreenYellow,Green
LawnGreen,Green
LightGreen,Green
LightSeaGreen,Blue
Lime,Green
LimeGreen,Green
MediumAquaMarine,Blue
MediumSeaGreen,Green
MediumSpringGreen,Blue
Olive,Green
OliveDrab,Green
PaleGreen,Green
SeaGreen,Green
SpringGreen,Green
Teal,Blue
YellowGreen,Green
DeepPink,Pink
HotPink,Pink
LightPink,Pink
MediumVioletRed,Pink
PaleVioletRed,Pink
Pink,Pink
BlueViolet,Purple
DarkMagenta,Purple
DarkOrchid,Purple
DarkSlateBlue,Purple
DarkViolet,Purple
Fuchsia,Purple
Indigo,Purple
Lavender,Purple
Magenta,Purple
MediumOrchid,Purple
MediumPurple,Purple
Orchid,Purple
Plum,Purple
Purple,Purple
SlateBlue,Purple
Thistle,Purple
Violet,Purple
Coral,Red
Crimson,Red
DarkOrange,Red
DarkRed,Red
DarkSalmon,Red
Firebrick,Red
IndianRed,Red
LightCoral,Red
LightSalmon,Red
LightSalmon,Red
Red,Red
Salmon,Red
Tomato,Red
AliceBlue,White
AntiqueWhite,White
Azure,White
Beige,White
FloralWhite,White
GhostWhite,White
HoneyDew,White
Ivory,White
LavenderBlush,White
Linen,White
MintCream,White
MistyRose,White
OldLace,White
SeaShell,White
Snow,White
White,White
WhiteSmoke,White
DarkKhaki,Green
Gold,Yellow
Khaki,Yellow
LemonChiffon,Yellow
LightGoldenrodYellow,Yellow
LightGoldenrod,Yellow
LightYellow,Yellow
Moccasin,Yellow
Orange,Yellow
OrangeRed,Yellow
PaleGoldenRod,Yellow
PapayaWhip,Yellow
PeachPuff,Yellow
Yellow,Yellow
